airport_code,name,lat,lon,capacity_per_hour
JFK,John F. Kennedy International,40.6413,-73.7781,42
BOS,Boston Logan International,42.3656,-71.0096,34
ORD,Chicago O'Hare International,41.9742,-87.9073,56
ATL,Hartsfield-Jackson Atlanta International,33.6407,-84.4277,60
DFW,Dallas/Fort Worth International,32.8998,-97.0403,52
DEN,Denver International,39.8561,-104.6737,48
LAX,Los Angeles International,33.9416,-118.4085,50
SFO,San Francisco International,37.6213,-122.3790,38
SEA,Seattle-Tacoma International,47.4502,-122.3088,36
MIA,Miami International,25.7959,-80.2870,36
CLT,Charlotte Douglas International,35.2144,-80.9473,42
IAD,Washington Dulles International,38.9531,-77.4565,32
