flight_id,airline,origin,destination,departure_time_utc,arrival_time_utc,aircraft_id,planned_altitude,planned_speed,passenger_count,priority_score,planned_route_latlons
AAL432,American,JFK,LAX,13:45,19:10,N738AA,36000,455,184,0.84,"[[40.6413,-73.7781],[41.2,-80.4],[41.9,-87.7],[39.8,-104.6],[34.2,-112.1],[33.9416,-118.4085]]"
UAL118,United,BOS,DEN,13:55,17:12,N412UA,38000,448,152,0.71,"[[42.3656,-71.0096],[41.3,-78.6],[42.1,-87.6],[41.1,-96.2],[39.8561,-104.6737]]"
DAL220,Delta,ATL,SEA,14:05,19:22,N821DL,36000,452,171,0.78,"[[33.6407,-84.4277],[38.1,-88.5],[41.9,-91.0],[44.2,-103.0],[47.4502,-122.3088]]"
SWA901,Southwest,ORD,DEN,14:10,16:41,N908WN,34000,430,137,0.64,"[[41.9742,-87.9073],[41.8,-89.4],[41.3,-96.0],[39.8561,-104.6737]]"
UAL509,United,ORD,SFO,14:20,18:35,N412UA,38000,460,166,0.83,"[[41.9742,-87.9073],[42.4,-93.1],[41.2,-104.5],[40.2,-113.1],[37.6213,-122.3790]]"
JBU700,JetBlue,JFK,ORD,14:25,16:05,N601JB,32000,436,143,0.72,"[[40.6413,-73.7781],[41.0,-78.9],[41.9742,-87.9073]]"
DAL814,Delta,LAX,JFK,14:30,19:54,N821DL,37000,458,192,0.88,"[[33.9416,-118.4085],[36.2,-111.7],[39.7,-104.8],[41.8,-87.9],[41.2,-79.5],[40.6413,-73.7781]]"
AAL901,American,LAX,JFK,14:38,20:03,N738AA,35000,455,181,0.86,"[[33.9416,-118.4085],[35.8,-112.3],[39.9,-104.7],[41.9,-87.8],[41.0,-79.1],[40.6413,-73.7781]]"
FFT326,Frontier,DEN,BOS,14:42,18:21,N326FR,36000,441,156,0.62,"[[39.8561,-104.6737],[41.1,-96.8],[42.0,-88.0],[41.5,-78.1],[42.3656,-71.0096]]"
AAL612,American,DFW,ORD,14:45,17:03,N663AA,33000,432,149,0.69,"[[32.8998,-97.0403],[36.0,-94.1],[39.9,-90.6],[41.9742,-87.9073]]"
DAL455,Delta,SEA,ATL,14:55,20:12,N775DL,37000,451,160,0.76,"[[47.4502,-122.3088],[44.6,-112.5],[41.7,-96.2],[40.6,-88.1],[33.6407,-84.4277]]"
UAL777,United,SFO,IAD,15:00,20:28,N772UA,39000,462,178,0.81,"[[37.6213,-122.3790],[39.8,-112.0],[40.5,-103.3],[41.8,-87.6],[40.2,-80.0],[38.9531,-77.4565]]"
ASA141,Alaska,SEA,ORD,15:05,19:01,N514AS,38000,448,142,0.7,"[[47.4502,-122.3088],[45.0,-111.0],[42.6,-98.9],[42.2,-88.5],[41.9742,-87.9073]]"
DAL303,Delta,MIA,ORD,15:12,18:02,N303DL,35000,440,154,0.73,"[[25.7959,-80.2870],[31.1,-83.5],[36.1,-86.1],[40.3,-88.0],[41.9742,-87.9073]]"
UAL236,United,ORD,LAX,15:15,19:18,N998UA,36000,456,173,0.8,"[[41.9742,-87.9073],[41.2,-95.8],[39.0,-107.0],[35.6,-113.0],[33.9416,-118.4085]]"
AAL230,American,CLT,DEN,15:20,18:05,N230AA,34000,438,131,0.58,"[[35.2144,-80.9473],[38.5,-86.1],[40.9,-91.2],[39.8561,-104.6737]]"
JBU411,JetBlue,BOS,LAX,15:28,21:02,N411JB,36000,454,150,0.67,"[[42.3656,-71.0096],[41.9,-80.2],[41.7,-88.0],[39.6,-104.8],[34.8,-113.9],[33.9416,-118.4085]]"
SWA707,Southwest,DEN,ATL,15:35,18:40,N707WN,35000,434,128,0.57,"[[39.8561,-104.6737],[39.9,-96.1],[39.5,-89.1],[33.6407,-84.4277]]"
UAL814,United,IAD,SEA,15:40,20:36,N814UA,38000,450,164,0.74,"[[38.9531,-77.4565],[40.5,-82.0],[42.2,-88.8],[44.9,-104.0],[47.4502,-122.3088]]"
DAL990,Delta,ATL,BOS,15:48,18:12,N990DL,33000,433,145,0.63,"[[33.6407,-84.4277],[36.6,-82.4],[39.5,-77.5],[42.3656,-71.0096]]"
AAL321,American,ORD,MIA,15:52,19:01,N663AA,35000,442,151,0.75,"[[41.9742,-87.9073],[39.5,-86.4],[34.8,-84.2],[29.9,-82.5],[25.7959,-80.2870]]"
UAL602,United,DEN,JFK,16:00,19:38,N602UA,37000,458,169,0.79,"[[39.8561,-104.6737],[41.5,-96.0],[42.0,-87.7],[41.3,-79.9],[40.6413,-73.7781]]"
DAL621,Delta,JFK,ATL,16:10,18:32,N621DL,32000,430,140,0.56,"[[40.6413,-73.7781],[38.8,-77.1],[35.7,-80.7],[33.6407,-84.4277]]"
ASA222,Alaska,SFO,BOS,16:18,22:05,N222AS,39000,461,155,0.68,"[[37.6213,-122.3790],[40.0,-112.5],[41.0,-101.4],[42.1,-87.8],[41.8,-78.4],[42.3656,-71.0096]]"
FFT808,Frontier,LAX,ORD,16:25,20:20,N808FR,36000,449,134,0.61,"[[33.9416,-118.4085],[36.1,-111.5],[39.7,-104.4],[41.2,-96.5],[41.9742,-87.9073]]"
SWA515,Southwest,DFW,CLT,16:32,18:55,N515WN,33000,429,126,0.52,"[[32.8998,-97.0403],[34.8,-92.2],[35.2144,-80.9473]]"
UAL930,United,ORD,BOS,16:40,19:03,N930UA,34000,436,148,0.77,"[[41.9742,-87.9073],[41.6,-82.9],[42.3656,-71.0096]]"
AAL188,American,MIA,JFK,16:45,19:28,N188AA,33000,434,157,0.6,"[[25.7959,-80.2870],[31.2,-79.0],[36.0,-76.0],[40.6413,-73.7781]]"
DAL117,Delta,CLT,LAX,16:50,21:08,N117DL,36000,451,153,0.65,"[[35.2144,-80.9473],[38.4,-88.0],[40.8,-96.2],[38.6,-108.1],[33.9416,-118.4085]]"
JBU914,JetBlue,IAD,SFO,17:02,22:08,N914JB,38000,457,146,0.66,"[[38.9531,-77.4565],[40.2,-82.0],[41.9,-87.8],[40.1,-104.9],[37.6213,-122.3790]]"
UAL331,United,LAX,DEN,17:10,19:21,N331UA,35000,442,139,0.55,"[[33.9416,-118.4085],[36.5,-112.0],[39.8561,-104.6737]]"
AAL540,American,BOS,DFW,17:18,21:02,N540AA,36000,449,162,0.59,"[[42.3656,-71.0096],[41.7,-80.4],[40.9,-88.9],[36.9,-94.0],[32.8998,-97.0403]]"
DAL404,Delta,ORD,ATL,17:25,19:40,N404DL,34000,435,144,0.7,"[[41.9742,-87.9073],[39.0,-86.2],[36.0,-84.0],[33.6407,-84.4277]]"
ASA616,Alaska,SEA,SFO,17:35,19:31,N616AS,33000,428,121,0.48,"[[47.4502,-122.3088],[44.8,-123.0],[41.8,-123.1],[37.6213,-122.3790]]"
SWA818,Southwest,ATL,DFW,17:45,19:32,N818WN,34000,431,132,0.5,"[[33.6407,-84.4277],[34.2,-90.1],[32.8998,-97.0403]]"
UAL272,United,SFO,ORD,17:55,21:49,N272UA,39000,460,176,0.74,"[[37.6213,-122.3790],[39.4,-113.2],[40.7,-103.8],[41.5,-95.5],[41.9742,-87.9073]]"
